"color","hex","name","rgb"
"AliceBlue","#F0F8FF","AliceBlue","rgb(240, 248, 255)"
"AntiqueWhite","#FAEBD7","AntiqueWhite","rgb(250, 235, 215)"
"AntiqueWhite1","#FFEFDB","AntiqueWhite1","rgb(255, 239, 219)"
"AntiqueWhite2","#EEDFCC","AntiqueWhite2","rgb(238, 223, 204)"
"AntiqueWhite3","#CDC0B0","AntiqueWhite3","rgb(205, 192, 176)"
"AntiqueWhite4","#8B8378","AntiqueWhite4","rgb(139, 131, 120)"
"aqua","#00FFFF","aqua","rgb(0, 255, 255)"
"aquamarine","#7FFFD4","aquamarine","rgb(127, 255, 212)"
"aquamarine1","#7FFFD4","aquamarine1","rgb(127, 255, 212)"
"aquamarine2","#76EEC6","aquamarine2","rgb(118, 238, 198)"
"aquamarine3","#66CDAA","aquamarine3","rgb(102, 205, 170)"
"aquamarine4","#458B74","aquamarine4","rgb(69, 139, 116)"
"azure","#F0FFFF","azure","rgb(240, 255, 255)"
"azure1","#F0FFFF","azure1","rgb(240, 255, 255)"
"azure2","#E0EEEE","azure2","rgb(224, 238, 238)"
"azure3","#C1CDCD","azure3","rgb(193, 205, 205)"
"azure4","#838B8B","azure4","rgb(131, 139, 139)"
"beige","#F5F5DC","beige","rgb(245, 245, 220)"
"bisque","#FFE4C4","bisque","rgb(255, 228, 196)"
"bisque1","#FFE4C4","bisque1","rgb(255, 228, 196)"
"bisque2","#EED5B7","bisque2","rgb(238, 213, 183)"
"bisque3","#CDB79E","bisque3","rgb(205, 183, 158)"
"bisque4","#8B7D6B","bisque4","rgb(139, 125, 107)"
"black","#000000","black","rgb(0, 0, 0)"
"BlanchedAlmond","#FFEBCD","BlanchedAlmond","rgb(255, 235, 205)"
"blue","#0000FF","blue","rgb(0, 0, 255)"
"blue1","#0000FF","blue1","rgb(0, 0, 255)"
"blue2","#0000EE","blue2","rgb(0, 0, 238)"
"blue3","#0000CD","blue3","rgb(0, 0, 205)"
"blue4","#00008B","blue4","rgb(0, 0, 139)"
"BlueViolet","#8A2BE2","BlueViolet","rgb(138, 43, 226)"
"brown","#A52A2A","brown","rgb(165, 42, 42)"
"brown1","#FF4040","brown1","rgb(255, 64, 64)"
"brown2","#EE3B3B","brown2","rgb(238, 59, 59)"
"brown3","#CD3333","brown3","rgb(205, 51, 51)"
"brown4","#8B2323","brown4","rgb(139, 35, 35)"
"burlywood","#DEB887","burlywood","rgb(222, 184, 135)"
"burlywood1","#FFD39B","burlywood1","rgb(255, 211, 155)"
"burlywood2","#EEC591","burlywood2","rgb(238, 197, 145)"
"burlywood3","#CDAA7D","burlywood3","rgb(205, 170, 125)"
"burlywood4","#8B7355","burlywood4","rgb(139, 115, 85)"
"cadet blue","#5F9EA0","cadet blue","rgb(95, 158, 160)"
"CadetBlue","#5F9EA0","CadetBlue","rgb(95, 158, 160)"
"CadetBlue1","#98F5FF","CadetBlue1","rgb(152, 245, 255)"
"CadetBlue2","#8EE5EE","CadetBlue2","rgb(142, 229, 238)"
"CadetBlue3","#7AC5CD","CadetBlue3","rgb(122, 197, 205)"
"CadetBlue4","#53868B","CadetBlue4","rgb(83, 134, 139)"
"chartreuse","#7FFF00","chartreuse","rgb(127, 255, 0)"
"chartreuse1","#7FFF00","chartreuse1","rgb(127, 255, 0)"
"chartreuse2","#76EE00","chartreuse2","rgb(118, 238, 0)"
"chartreuse3","#66CD00","chartreuse3","rgb(102, 205, 0)"
"chartreuse4","#458B00","chartreuse4","rgb(69, 139, 0)"
"chocolate","#D2691E","chocolate","rgb(210, 105, 30)"
"chocolate1","#FF7F24","chocolate1","rgb(255, 127, 36)"
"chocolate2","#EE7621","chocolate2","rgb(238, 118, 33)"
"chocolate3","#CD661D","chocolate3","rgb(205, 102, 29)"
"chocolate4","#8B4513","chocolate4","rgb(139, 69, 19)"
"coral","#FF7F50","coral","rgb(255, 127, 80)"
"coral1","#FF7256","coral1","rgb(255, 114, 86)"
"coral2","#EE6A50","coral2","rgb(238, 106, 80)"
"coral3","#CD5B45","coral3","rgb(205, 91, 69)"
"coral4","#8B3E2F","coral4","rgb(139, 62, 47)"
"CornflowerBlue","#6495ED","CornflowerBlue","rgb(100, 149, 237)"
"cornsilk","#FFF8DC","cornsilk","rgb(255, 248, 220)"
"cornsilk1","#FFF8DC","cornsilk1","rgb(255, 248, 220)"
"cornsilk2","#EEE8CD","cornsilk2","rgb(238, 232, 205)"
"cornsilk3","#CDC8B1","cornsilk3","rgb(205, 200, 177)"
"cornsilk4","#8B8878","cornsilk4","rgb(139, 136, 120)"
"crimson","#DC143C","crimson","rgb(220, 20, 60)"
"cyan","#00FFFF","cyan","rgb(0, 255, 255)"
"cyan1","#00FFFF","cyan1","rgb(0, 255, 255)"
"cyan2","#00EEEE","cyan2","rgb(0, 238, 238)"
"cyan3","#00CDCD","cyan3","rgb(0, 205, 205)"
"cyan4","#008B8B","cyan4","rgb(0, 139, 139)"
"DarkBlue","#00008B","DarkBlue","rgb(0, 0, 139)"
"DarkCyan","#008B8B","DarkCyan","rgb(0, 139, 139)"
"DarkGoldenrod","#B8860B","DarkGoldenrod","rgb(184, 134, 11)"
"DarkGoldenrod1","#FFB90F","DarkGoldenrod1","rgb(255, 185, 15)"
"DarkGoldenrod2","#EEAD0E","DarkGoldenrod2","rgb(238, 173, 14)"
"DarkGoldenrod3","#CD950C","DarkGoldenrod3","rgb(205, 149, 12)"
"DarkGoldenrod4","#8B6508","DarkGoldenrod4","rgb(139, 101, 8)"
"DarkGray","#A9A9A9","DarkGray","rgb(169, 169, 169)"
"DarkGreen","#006400","DarkGreen","rgb(0, 100, 0)"
"DarkGrey","#A9A9A9","DarkGrey","rgb(169, 169, 169)"
"DarkKhaki","#BDB76B","DarkKhaki","rgb(189, 183, 107)"
"DarkMagenta","#8B008B","DarkMagenta","rgb(139, 0, 139)"
"DarkOliveGreen","#556B2F","DarkOliveGreen","rgb(85, 107, 47)"
"DarkOliveGreen1","#CAFF70","DarkOliveGreen1","rgb(202, 255, 112)"
"DarkOliveGreen2","#BCEE68","DarkOliveGreen2","rgb(188, 238, 104)"
"DarkOliveGreen3","#A2CD5A","DarkOliveGreen3","rgb(162, 205, 90)"
"DarkOliveGreen4","#6E8B3D","DarkOliveGreen4","rgb(110, 139, 61)"
"DarkOrange","#FF8C00","DarkOrange","rgb(255, 140, 0)"
"DarkOrange1","#FF7F00","DarkOrange1","rgb(255, 127, 0)"
"DarkOrange2","#EE7600","DarkOrange2","rgb(238, 118, 0)"
"DarkOrange3","#CD6600","DarkOrange3","rgb(205, 102, 0)"
"DarkOrange4","#8B4500","DarkOrange4","rgb(139, 69, 0)"
"DarkOrchid","#9932CC","DarkOrchid","rgb(153, 50, 204)"
"DarkOrchid1","#BF3EFF","DarkOrchid1","rgb(191, 62, 255)"
"DarkOrchid2","#B23AEE","DarkOrchid2","rgb(178, 58, 238)"
