"common_name","scientific_name","aliases","height","width","publish"
"Acer negundo","Acer negundo","Ashleaf maple, Ash-leaved maple, Box elder, Boxelder maple, Maple ash, 'Variegatum'","","","Yes"
"Aloha Dark Red","Mandevilla hybrid","'Aloha Dark Red'","","","Yes"
"Aloha Regal Ruby","Mandevilla hybrid","'Aloha Regal Ruby'","","","Yes"
"Angela","Alstroemeria","","","","Yes"
"Princess Lily Louise","Alstroemeria","","","","Yes"
"Peruvian Lily","Alstroemeria pulchella","","30cm","30cm","Yes"
"Pine Golden Pippin","Malus domestica 'Pine Golden Pippin'","Pine Golden Pippin","","","Yes"
"Pitmaston Pine","Malus domestica 'Pitmaston Pine'","Pitmaston Pine","","","Yes"
"Malus domestica 3","Malus domestica 3","","8m","7m","Yes"
"Pinkabelle®","Malus domestica Pinkabelle®","","2m","1m","Yes"
"Leprechaun","Malus domestica Leprechaun","","2m","1m","Yes"
"Pompink","Malus domestica Pompink","","3m","60cm","Yes"
"Harmony","Malus domestica Harmony","","3m","60cm","Yes"
"Pom-for-You","Malus domestica Pom-for-You","","3m","60cm","Yes"
"Aquilegia 1","Aquilegia McKana","Columbine","","","Yes"
"Aquilegia 2","Aquilegia flabellata var. pumila alba","Columbine, Granny's Bonnet","","","Yes"
"Arum italicum","Arum italicum","Italian arum, Italian lords-and-ladies","46cm","46cm","Yes"
"Asparagus Fern","Asparagus setaceus","Common Asparagus Fern, Climbing Asparagus, Ferny Asparagus, Lace Fern","","","Yes"
"Rosa Belton","Azalea","-","","","Yes"
"Azalea 2","Azalea","","","","Yes"
"Azalea 3","Azalea","","","","Yes"
"Banksia 1","Banksia spinulosa","Cherry Candles","","","Yes"
"Banksia 2","Banksia blechnifolia","Prostrate Banksia","50cm","50cm","Yes"
"Basil 1","Ocimum basilicum","Genovese basil, great basil, king of herbs, royal herb, Saint-Joseph's-wort, Sweet Scented Basil","45cm","20cm","Yes"
"Basil 2","Ocimum kilimandscharicum x basilicum 'Dark Opal'","African Basil, holy basil, Ocimum sp., perennial basil, tulasi, thulasi, tulsi","1m","30cm","Yes"
"Beacon Silver","Lamium","Dead-nettles","","","Yes"
"Bears breeches","Acanthus mollis","Bearsfoot, Oyster plant, Sea dock","","","Yes"
"Bellflower 1","Campanula garganica","Adriatic bellflower","","","Yes"
"Bellflower 2","Campanula poscharskyana","Serbian bellflower","25cm","100cm","Yes"
"Big Blue Lilyturf","Liriope muscari","","","","Yes"
"Blueberry Ash","Elaeocarpus reticulatus","'Prima Donna'","5m","2m","Yes"
"Border Red","Phormium tenax","","40cm","40cm","Yes"
"Bottlebrush","Callistemon viminalis hybrid","'Little John'","","","Yes"
"Bracteantha","Bracteantha","'Mohave Orange', Xerochrysum","","","Yes"
"Burnt Orange","Pultenaea pedunculata","Matted bush-tree","","","Yes"
"Butterfly Bush","Rotheca myricoides","Clerodendrum myricoides, Clerodendrum myricoides 'Ugandense'","","","Yes"
"Butterfly Iris","Dietes","African iris, Butterfly iris, Fortnight lily, Japanese iris, Wood iris","","","Yes"
"Camellia","Camellia","","","","Yes"
"Carnation","Dianthus","","","","Yes"
"Celosia","Celosia","Plumed cockscomb, Silver cock's comb","","","Yes"
"Chilean Jasmine","Mandevilla laxa","","","","Yes"
"Chinese fringe flower","Loropetalum chinense var. rubrum","Chinese witch hazel, 'China Pink'","","","Yes"
"Chinese Lantern","Abutilon hybridum","Indian mallow, Velvetleaf","","","Yes"
"Chinese witch hazel","Loropetalum chinense","Chinese fringe flower, 'Purple Prince'","50cm","","Yes"
"Chives 1","Allium schoenoprasum","","","","Yes"
"Chives 2","Allium tuberosum","Asian chives, Chinese chives, Chinese leek, garlic chives, oriental garlic","60cm","","Yes"
"Chocolate Lily","Dichopogon strictus","Arthropodium strictum, Chocolate lily","","","Yes"
"Cumquat","Citrus japonica","","","","Yes"
"Lisbon lemon","Citrus limon","","","","Yes"
"Meyer lemon","Citrus x meyeri","Meyer 'Improved'","","","Yes"
"Tahiti Lime","Citrus x latifolia","Bearss lime, seedless lime","","","Yes"
"Washington Navel Orange","Citrus x sinensis","","","","Yes"
"Convolvulus 1","Convolvulus cneorum","Silver Bush","40cm","40cm","Yes"
"Convolvulus 2","Convolvulus sabatius","Trailing Convolvulus","10cm","1.2m","Yes"
"Coriander","Coriandrum sativum","Chinese parsley, cilantro, Coriander Slow Bolting","20cm","25cm","Yes"
"Corn Salad","Valerianella locusta","Common cornsalad, doucette, feldsalat, fetticus, field salad, lamb's lettuce, mâche, nut lettuce, raiponce, rapunzel","20cm","10cm","Yes"
"Rock Correa","Correa glabra","","1-2m","1-2m","Yes"
"Correa - Orange form","Correa pulchella","Autumn Blaze","0.9m","0.3m","Yes"
"Corymbia ficifolia","Corymbia ficifolia","'Mini Orange'","2m","2m","Yes"
"Crepe Myrtle","Lagerstromeia indica x L. Fauriei","'Tuscarora'","","","Yes"
"Crowea","Crowea saligna","Willow-leaved crowea","","","Yes"
"Dampiera trigona","Dampiera trigona","","","","Yes"
"Daphne","Daphne bholua","Nepalese paper plant","","","Yes"
"Delphinium","Delphinium","'Blue Sensation', Larkspur","80cm","20cm","Yes"
"Dianella prunina","Dianella prunina DP303","Blue Purple Flax, Utopia","1m","50cm","Yes"
"Diplarrena latifolia","Diplarrena latifolia","","45cm","20cm","Yes"
"Dwarf Crown of Thorns","Euphorbia milii","","30cm","30cm","Yes"
"Elephant bush","Portulacaria afra","Dwarf jade plant, Porkbush, Spekboom","","","Yes"
"Elephant-ear","Colocasia","Chembu, Cocoyam, Dasheen, Eddoe, Karala ko ganu, Taro, Tarul","","","Yes"
"Eremorphila glabra","Eremorphila glabra","Yellow Form","70cm","1.5m","Yes"
"Eremorphila nivea","Eremorphila nivea","'Blue Velvet'","","","Yes"
"Eutaxia","Eutaxia obovata nana","'Egg and Bacon Plant'","","","Yes"
"False sarsaparilla","Hardenbergia violacea","Happy wanderer, Lilac vine, 'Mini Haha', Native lilac, Purple coral pea, Vine lilac, Waraburra","","","Yes"
"Fig","Ficus carica","Common Fig","","","Yes"
