"name","hex_color"
"Air Conditioner","#009ACD","Yes"
"BBQ","#A9A9A9","Yes"
"Bench","#C0C0C0","Yes"
"Birdbath","#87CEEB","Yes"
"Brick drive","#F08080","Yes"
"Brick fence","#F08080","Yes"
"Brick path","#F08080","Yes"
"Brick patio","#F08080","Yes"
"Brick steps","#F08080","Yes"
"Electricity meter","#00CED1","Yes"
"Footpath","#A9A9A9","Yes"
"Gas meter","#00CED1","Yes"
"House","#CD5C5C","Yes"
"Inspection shaft","#A9A9A9","Yes"
"Letterbox","#F08080","Yes"
"Marble table","#FFFFFF","Yes"
"Median strip","#7FFFD4","Yes"
"Pergola post","#A9A9A9","Yes"
"Plug hole","#87CEEB","Yes"
"Rock","#A9A9A9","Yes"
"Shed","#A9A9A9","Yes"
"Storm water pit","#87CEEB","Yes"
"Telephone pit","#A9A9A9","Yes"
"Tree","#00FF7F","Yes"
"Water meter","#87CEEB","Yes"
"Watertank","#87CEEB","Yes"
"Wooden fence","#A9A9A9","Yes"
"Wooden gate","#A9A9A9","Yes"
