"scientific_name","url"
"Abutilon hybridum","https://en.wikipedia.org/wiki/Abutilon"
"Acanthus mollis","https://en.wikipedia.org/wiki/Acanthus_mollis"
"Acer negundo","https://en.wikipedia.org/wiki/Acer_negundo"
"Acer palmatum","https://en.wikipedia.org/wiki/Acer_palmatum"
"Adenanthos sericeus","https://en.wikipedia.org/wiki/Adenanthos_sericeus"
"Adenanthos sericeus","http://touchofclassplants.com"
"Agastache aurantiaca","https://en.wikipedia.org/wiki/Agastache"
"Allium schoenoprasum","https://en.wikipedia.org/wiki/Chives"
"Allium tuberosum","https://en.wikipedia.org/wiki/Allium_tuberosum"
"Alstroemeria 1","http://ramm.com.au"
"Alstroemeria 2","http://ramm.com.au"
"Alyogyne huegelii 1","https://en.wikipedia.org/wiki/Alyogyne"
"Alyogyne huegelii 2","http://www.kuranga.com.au/"
"Anigozanthos hybrid","http://bushgems.com.au"
"Anigozanthos hybrid","https://en.wikipedia.org/wiki/Anigozanthos"
"Anigozanthos hybrid Kangaroo Paw","http://bushgems.com.au"
"Anigozanthos hybrid Kangaroo Paw","https://en.wikipedia.org/wiki/Anigozanthos"
"Anigozanthos hybrid syn. Rambodiam","http://bushgems.com.au"
"Anigozanthos hybrid syn. Rambodiam","https://en.wikipedia.org/wiki/Anigozanthos"
"Anigozanthos hybrid syn. Rambubona Kangaroo Paw","http://bushgems.com.au"
"Anigozanthos hybrid syn. Rambubona Kangaroo Paw","https://en.wikipedia.org/wiki/Anigozanthos"
"Aquilegia flabellata var. pumila alba","https://en.wikipedia.org/wiki/Aquilegia"
"Aquilegia McKana","https://en.wikipedia.org/wiki/Aquilegia"
"Archillea millifolium","https://en.wikipedia.org/wiki/Achillea_millefolium"
"Artemisia","https://en.wikipedia.org/wiki/Artemisia_(genus)"
"Artemisia vulgaris","https://en.wikipedia.org/wiki/Mugwort"
"Arum italicum","https://en.wikipedia.org/wiki/Arum_italicum"
"Arum italicum","http://garden-photos-com.photoshelter.com/gallery/Arum-italicum-Stock-Photos/G0000fF3RKt2SiYg"
"Asparagus setaceus","https://en.wikipedia.org/wiki/Asparagus_fern"
