[2021-10-14 17:56:37.33364] [23198] [debug] Dropped table 'urls'
[2021-10-14 17:56:37.39599] [23198] [debug] Dropped table 'images'
[2021-10-14 17:56:37.45888] [23198] [debug] Dropped table 'notes'
[2021-10-14 17:56:37.51598] [23198] [debug] Dropped table 'feature_locations'
[2021-10-14 17:56:37.57988] [23198] [debug] Dropped table 'features'
[2021-10-14 17:56:37.64075] [23198] [debug] Dropped table 'flower_locations'
[2021-10-14 17:56:37.69981] [23198] [debug] Dropped table 'gardens'
[2021-10-14 17:56:37.76523] [23198] [debug] Dropped table 'properties'
[2021-10-14 17:56:37.82364] [23198] [debug] Dropped table 'attributes'
[2021-10-14 17:56:37.88583] [23198] [debug] Dropped table 'attribute_types'
[2021-10-14 17:56:37.94934] [23198] [debug] Dropped table 'flowers'
[2021-10-14 17:56:38.00675] [23198] [debug] Dropped table 'constants'
[2021-10-14 17:56:38.07047] [23198] [debug] Dropped table 'log'
[2021-10-14 17:56:38.38390] [23199] [debug] Created table 'log'
[2021-10-14 17:56:38.44332] [23199] [debug] Created table 'constants'
[2021-10-14 17:56:38.50857] [23199] [debug] Created table 'flowers'
[2021-10-14 17:56:38.56801] [23199] [debug] Created table 'attribute_types'
[2021-10-14 17:56:38.62967] [23199] [debug] Created table 'attributes'
[2021-10-14 17:56:38.69356] [23199] [debug] Created table 'properties'
[2021-10-14 17:56:38.75146] [23199] [debug] Created table 'gardens'
[2021-10-14 17:56:38.81532] [23199] [debug] Created table 'flower_locations'
[2021-10-14 17:56:38.87624] [23199] [debug] Created table 'features'
[2021-10-14 17:56:38.93563] [23199] [debug] Created table 'feature_locations'
[2021-10-14 17:56:39.00051] [23199] [debug] Created table 'notes'
[2021-10-14 17:56:39.05941] [23199] [debug] Created table 'images'
[2021-10-14 17:56:39.12159] [23199] [debug] Created table 'urls'
[2021-10-14 17:56:39.44431] [23200] [debug] Populating all tables
[2021-10-14 17:56:39.70719] [23200] [info] Read 4 records into 'attribute_types'
[2021-10-14 17:56:41.68692] [23200] [info] Read 32 records into 'constants'
[2021-10-14 17:56:41.71399] [23200] [error] flowers. Row: 1. Column kind undefined
[2021-10-14 17:56:41.71407] [23200] [error] flowers. Row: 1. Column max_height undefined
[2021-10-14 17:56:41.71412] [23200] [error] flowers. Row: 1. Column max_width undefined
[2021-10-14 17:56:41.71418] [23200] [error] flowers. Row: 1. Column min_height undefined
[2021-10-14 17:56:41.71424] [23200] [error] flowers. Row: 1. Column min_width undefined
[2021-10-14 17:56:41.71431] [23200] [error] flowers. Row: 1. Column pig_latin undefined
[2021-10-14 17:56:41.71436] [23200] [error] flowers. Row: 1. Column planted undefined
[2021-10-14 17:56:41.71442] [23200] [error] flowers. Row: 1. Column thumbnail undefined
[2021-10-14 17:56:41.71450] [23200] [error] flowers. Row: 2. Column kind undefined
[2021-10-14 17:56:41.71455] [23200] [error] flowers. Row: 2. Column max_height undefined
[2021-10-14 17:56:41.71459] [23200] [error] flowers. Row: 2. Column max_width undefined
[2021-10-14 17:56:41.71462] [23200] [error] flowers. Row: 2. Column min_height undefined
[2021-10-14 17:56:41.71465] [23200] [error] flowers. Row: 2. Column min_width undefined
[2021-10-14 17:56:41.71468] [23200] [error] flowers. Row: 2. Column pig_latin undefined
[2021-10-14 17:56:41.71471] [23200] [error] flowers. Row: 2. Column planted undefined
[2021-10-14 17:56:41.71475] [23200] [error] flowers. Row: 2. Column thumbnail undefined
[2021-10-14 17:56:41.71478] [23200] [error] flowers. Row: 3. Column kind undefined
[2021-10-14 17:56:41.71481] [23200] [error] flowers. Row: 3. Column max_height undefined
[2021-10-14 17:56:41.71484] [23200] [error] flowers. Row: 3. Column max_width undefined
[2021-10-14 17:56:41.71487] [23200] [error] flowers. Row: 3. Column min_height undefined
[2021-10-14 17:56:41.71491] [23200] [error] flowers. Row: 3. Column min_width undefined
[2021-10-14 17:56:41.71494] [23200] [error] flowers. Row: 3. Column pig_latin undefined
[2021-10-14 17:56:41.71497] [23200] [error] flowers. Row: 3. Column planted undefined
[2021-10-14 17:56:41.71500] [23200] [error] flowers. Row: 3. Column thumbnail undefined
[2021-10-14 17:56:41.71504] [23200] [warn] flowers. Row: 3. Duplicate scientific_name: Mandevilla hybrid
